Date,Open,High,Low,Close,Volume,Adj Close
2014-03-14,4220.65,4236.58,4183.00,4216.37,184194100,4216.37
2014-03-13,4315.39,4319.64,4250.51,4250.51,112881900,4250.51
2014-03-12,4322.76,4327.85,4273.38,4306.26,123684500,4306.26
2014-03-11,4384.74,4386.73,4343.95,4349.72,102575400,4349.72
2014-03-10,4365.49,4417.80,4346.83,4370.84,129388400,4370.84
2014-03-07,4416.16,4432.50,4364.20,4366.42,157180000,4366.42
2014-03-06,4408.13,4431.16,4402.16,4417.04,147376000,4417.04
2014-03-05,4384.61,4402.12,4377.65,4391.25,106194600,4391.25
2014-03-04,4340.83,4399.81,4337.35,4395.90,125890900,4395.90
2014-03-03,4338.79,4346.95,4288.44,4290.87,157761500,4290.87
2014-02-28,4405.20,4413.65,4367.96,4408.08,120235300,4408.08
2014-02-27,4400.66,4408.23,4354.95,4396.39,142607100,4396.39
2014-02-26,4414.36,4420.94,4381.19,4396.91,113683200,4396.91
2014-02-25,4406.42,4416.16,4383.24,4414.55,111757500,4414.55
2014-02-24,4374.46,4419.13,4373.57,4419.13,95223800,4419.13
2014-02-21,4369.84,4383.15,4353.15,4381.06,102371300,4381.06
2014-02-20,4298.11,4356.65,4290.47,4355.49,122837400,4355.49
2014-02-19,4321.65,4352.72,4312.80,4341.10,101227100,4341.10
2014-02-18,4340.87,4342.41,4304.66,4330.71,91570300,4330.71
2014-02-17,4345.58,4352.54,4330.00,4335.17,62954100,4335.17
2014-02-14,4320.15,4340.38,4304.99,4340.14,97863100,4340.14
2014-02-13,4292.96,4316.29,4275.24,4312.80,111612600,4312.80
2014-02-12,4295.79,4324.32,4288.01,4305.50,118668600,4305.50
2014-02-11,4251.29,4283.32,4247.37,4283.32,137945000,4283.32
2014-02-10,4247.58,4251.38,4229.07,4237.13,101803100,4237.13
2014-02-07,4198.77,4228.90,4171.68,4228.18,139519300,4228.18
2014-02-06,4138.97,4200.58,4122.75,4188.10,234833600,4188.10
2014-02-05,4111.67,4136.61,4098.69,4117.79,123523300,4117.79
2014-02-04,4092.14,4132.29,4080.60,4117.45,135698700,4117.45
2014-02-03,4160.28,4184.95,4104.66,4107.75,119653500,4107.75
2014-01-31,4194.72,4194.72,4098.71,4165.72,144400500,4165.72
2014-01-30,4160.21,4195.54,4123.66,4180.02,110023300,4180.02
2014-01-29,4220.74,4245.96,4106.53,4156.98,156697700,4156.98
2014-01-28,4171.48,4198.20,4153.82,4185.29,124485100,4185.29
2014-01-27,4166.28,4172.28,4137.96,4144.56,138816400,4144.56
2014-01-24,4283.60,4292.14,4154.95,4161.47,181128600,4161.47
2014-01-23,4318.90,4339.13,4266.98,4280.96,121891000,4280.96
2014-01-22,4338.41,4347.02,4308.07,4324.98,95595000,4324.98
2014-01-21,4326.91,4351.21,4317.05,4323.87,113288700,4323.87
2014-01-20,4320.81,4333.32,4314.05,4322.86,75947500,4322.86
2014-01-17,4324.09,4341.86,4312.86,4327.50,132673900,4327.50
2014-01-16,4333.30,4334.96,4312.83,4319.27,113299100,4319.27
2014-01-15,4286.55,4332.07,4283.11,4332.07,116462900,4332.07
2014-01-14,4226.69,4274.20,4213.57,4274.20,103190900,4274.20
2014-01-13,4261.70,4268.72,4246.72,4263.27,103307900,4263.27
